attribute,group,n,actual_retention_rate,predicted_positive_rate,selection_rate_at_risk,roc_auc,false_negative_rate,false_positive_rate
first_generation,No,891,0.8249158249158249,0.9943883277216611,0.005611672278338945,0.6940737833594977,0.005442176870748299,0.9935897435897436
first_generation,Yes,359,0.7576601671309192,0.9860724233983287,0.013927576601671309,0.6700473292765383,0.0,0.9425287356321839
gender,Female,751,0.8029294274300932,0.9906790945406125,0.009320905459387484,0.6874019541929989,0.004975124378109453,0.972972972972973
gender,Male,480,0.8104166666666667,0.99375,0.00625,0.689680499449137,0.002570694087403599,0.978021978021978
pell_eligible,No,858,0.8076923076923077,0.9906759906759907,0.009324009324009324,0.6998950544405089,0.004329004329004329,0.9696969696969697
pell_eligible,Yes,392,0.8010204081632653,0.9948979591836735,0.00510204081632653,0.6709333659970602,0.0031847133757961785,0.9871794871794872
race_ethnicity,Asian,165,0.7818181818181819,1.0,0.0,0.6213393626184324,0.0,1.0
race_ethnicity,Black/African American,90,0.8222222222222222,1.0,0.0,0.6347128378378379,0.0,1.0
race_ethnicity,Hispanic/Latino,268,0.832089552238806,0.9813432835820896,0.018656716417910446,0.7629795714997509,0.008968609865470852,0.9333333333333333
race_ethnicity,International,38,0.7894736842105263,1.0,0.0,0.7437499999999999,0.0,1.0
race_ethnicity,Two or More Races,50,0.84,0.98,0.02,0.7291666666666666,0.0,0.875
race_ethnicity,White,620,0.7935483870967742,0.9935483870967742,0.0064516129032258064,0.6841256986788617,0.0040650406504065045,0.984375
