feature,mean_abs_shap
mean_term_gpa,0.5855938
unmet_need,0.37090114
distance_from_home_mi,0.3049588
institutional_aid,0.22167212
total_advising,0.20646572
sat_total,0.19392137
hs_gpa,0.1858658
federal_aid,0.18431723
mean_lms,0.1483009
total_credits_earned,0.14528412
program_code_CS,0.06615192
program_code_ENG,0.049600538
program_code_BIO,0.041267384
program_code_PSY,0.02101665
program_code_EDU,0.01914426
ever_on_campus,0.01893682
program_code_NUR,0.016950224
program_code_BUS,0.015122827
program_code_COM,0.01158246
program_code_POL,0.0047151614
program_code_SOC,0.0046742545
