student_id,cohort_year,gender,race_ethnicity,first_generation,pell_eligible,program_code,retention_probability,risk_score,risk_band,actual_returned_year_2
S100000,2020,Female,Hispanic/Latino,No,No,COM,0.8174,0.1826,Low,1
S100001,2023,Male,Asian,Yes,No,NUR,0.8556,0.1444,Low,1
S100002,2022,Male,White,Yes,Yes,CS,0.9621,0.0379,Low,1
S100003,2021,Male,White,No,No,ENG,0.6333,0.3667,Moderate,0
S100004,2021,Female,Hispanic/Latino,No,No,EDU,0.8089,0.1911,Low,1
S100005,2023,Female,Asian,Yes,No,EDU,0.7929,0.2071,Moderate,0
S100006,2020,Male,International,No,No,SOC,0.9219,0.0781,Low,1
S100007,2022,Male,Black/African American,No,Yes,COM,0.8676,0.1324,Low,1
S100008,2020,Female,Hispanic/Latino,No,No,POL,0.8474,0.1526,Low,1
S100009,2020,Male,Hispanic/Latino,No,Yes,SOC,0.8235,0.1765,Low,1
S100010,2022,Female,Hispanic/Latino,Yes,No,BIO,0.7421,0.2579,Moderate,0
S100011,2023,Female,Hispanic/Latino,Yes,Yes,EDU,0.9415,0.0585,Low,1
S100012,2022,Female,White,Yes,No,BUS,0.6663,0.3337,Moderate,0
S100013,2023,Female,Hispanic/Latino,No,No,EDU,0.9007,0.0993,Low,1
S100014,2022,Female,Asian,No,No,BIO,0.7098,0.2902,Moderate,1
S100015,2023,Male,Hispanic/Latino,No,Yes,BIO,0.8299,0.1701,Low,1
S100016,2022,Female,Black/African American,No,No,ENG,0.8436,0.1564,Low,1
S100017,2020,Female,Hispanic/Latino,No,Yes,PSY,0.7616,0.2384,Moderate,0
S100018,2023,Female,White,Yes,No,COM,0.789,0.211,Moderate,1
S100019,2021,Female,White,Yes,No,ENG,0.8637,0.1363,Low,1
S100020,2022,Female,White,No,No,COM,0.7823,0.2177,Moderate,1
S100021,2021,Female,White,No,No,ENG,0.6462,0.3538,Moderate,0
S100022,2020,Female,White,No,No,BIO,0.9114,0.0886,Low,1
S100023,2023,Male,White,Yes,No,COM,0.9054,0.0946,Low,1
S100024,2023,Male,White,No,No,POL,0.87,0.13,Low,1
S100025,2022,Female,White,Yes,No,ENG,0.7929,0.2071,Moderate,1
S100026,2021,Male,Asian,No,No,COM,0.8227,0.1773,Low,0
